"Feature","Missing_Rate","Domain"
"ORIGPROT",0,"Demographics"
"COLPROT",0,"Demographics"
"PTID",0,"Demographics"
"RID",0,"Demographics"
"VISCODE",0,"Demographics"
"VISCODE2",0.000228258388495777,"Demographics"
"VISDATE",0.00182606710796622,"Demographics"
"PTSOURCE",0.00205432549646199,"Demographics"
"PTGENDER",0.00228258388495777,"Demographics"
"PTDOB",0.00273910066194933,"Demographics"
"PTDOBYY",0.00273910066194933,"Demographics"
"PTHAND",0.00570645971239443,"Demographics"
"PTMARRY",0.00342387582743666,"Demographics"
"PTEDUCAT",0.00547820132389865,"Demographics"
"PTWORKHS",0.554667884044739,"Demographics"
"PTWORK",0.807806436886556,"Demographics"
"PTNOTRT",0.00661949326637754,"Demographics"
"PTRTYR",0.259301529331203,"Demographics"
"PTHOME",0.0050216845469071,"Demographics"
"PTTLANG",0.00228258388495777,"Demographics"
"PTPLANG",0.00251084227345355,"Demographics"
"PTADBEG",0.951837480027391,"Demographics"
"PTCOGBEG",0.209541200639123,"Demographics"
"PTADDX",0.288746861447158,"Demographics"
"PTETHCAT",0.00228258388495777,"Demographics"
"PTRACCAT",0.00251084227345355,"Demographics"
"PTIDENT",0.805752111390094,"Demographics"
"PTORIENT",0.831545309290116,"Demographics"
"PTORIENTOT",0.999086966446017,"Demographics"
"PTENGSPK",0.805980369778589,"Demographics"
"PTNLANG",0.805980369778589,"Demographics"
"PTENGSPKAGE",0.973293768545994,"Demographics"
"PTCLANG",0.805980369778589,"Demographics"
"PTLANGSP",0.805980369778589,"Demographics"
"PTLANGWR",0.805980369778589,"Demographics"
"PTSPTIM",0.805980369778589,"Demographics"
"PTSPOTTIM",0.805980369778589,"Demographics"
"PTLANGPR1",0.956174389408811,"Demographics"
"PTLANGSP1",0.957772198128281,"Demographics"
"PTLANGRD1",0.957772198128281,"Demographics"
"PTLANGWR1",0.957772198128281,"Demographics"
"PTLANGUN1",0.957772198128281,"Demographics"
"PTLANGPR2",0.957772198128281,"Demographics"
"PTLANGSP2",0.960511298790231,"Demographics"
"PTLANGRD2",0.960511298790231,"Demographics"
"PTLANGWR2",0.960511298790231,"Demographics"
"PTLANGUN2",0.960511298790231,"Demographics"
"PTLANGPR3",0.960511298790231,"Demographics"
"PTLANGSP3",0.98539146313627,"Demographics"
"PTLANGRD3",0.985619721524766,"Demographics"
"PTLANGWR3",0.985619721524766,"Demographics"
"PTLANGUN3",0.98539146313627,"Demographics"
"PTLANGPR4",0.98539146313627,"Demographics"
"PTLANGSP4",0.992467473179639,"Demographics"
"PTLANGRD4",0.992467473179639,"Demographics"
"PTLANGWR4",0.992467473179639,"Demographics"
"PTLANGUN4",0.992467473179639,"Demographics"
"PTLANGPR5",0.992467473179639,"Demographics"
"PTLANGSP5",0.996576124172563,"Demographics"
"PTLANGRD5",0.996576124172563,"Demographics"
"PTLANGWR5",0.996576124172563,"Demographics"
"PTLANGUN5",0.996576124172563,"Demographics"
"PTLANGPR6",0.996576124172563,"Demographics"
"PTLANGSP6",0.998630449669025,"Demographics"
"PTLANGRD6",0.998630449669025,"Demographics"
"PTLANGWR6",0.998630449669025,"Demographics"
"PTLANGUN6",0.998630449669025,"Demographics"
"PTLANGTTL",0.957772198128281,"Demographics"
"PTETHCATH",0.976261127596439,"Demographics"
"PTASIAN",0.985619721524766,"Demographics"
"PTOPI",0.999543483223008,"Demographics"
"PTBORN",0.805752111390094,"Demographics"
"PTBIRPL",0.965532983337138,"Demographics"
"PTIMMAGE",0.965989500114129,"Demographics"
"PTIMMWHY",0.965532983337138,"Demographics"
"PTBIRPR",0.805752111390094,"Demographics"
"PTBIRGR",0.805752111390094,"Demographics"
"ID",0,"Demographics"
